user_did,ap_did,ap_method,dp_did,dp_method,reputation_score
did:etho:26356cb66f8fd62c03f569ec3691b6f00173eb02,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,0
did:etho:45929d79a6dddaa3c8154d4f245d17d1d80dbbcc,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,0
did:etho:a3900c175861c8904cc41335235e7d11a612b387,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,0
did:etho:2ce1a66f22a2dc6e410d9021d57aeb8d13d6bfef,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,170
did:etho:765a16ca391a6b9249cfa65bf2d14c38722198e3,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:0b323edfc8b4eee3fdceb68e56bd262ce58cd7e7,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:19f6d139e96206a8319a9d312ffe98a706d732f2,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,0
did:etho:6f19efcae28a9c1394c45cff89ad152cc3cc5422,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,0
did:etho:bec905d702819d65e510f298a1526c8a4cec8b79,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,140
did:etho:b06d2612a661ff6227c1978ef6d2dfc35cef044a,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,120
did:etho:01f92621addbd8b688fe6539f6a69a0f892502ec,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:360cebac3453204d44032d4e4d2c9896de48a85c,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:59852d9991f2a466d4ac7d46675aa9e41280855d,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,100
did:etho:7ac36247457dab3abb833accc538a3e56ce538b1,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:c40b7a95c6623b19534132969b669bc50ed511af,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,50
did:etho:ade4fbed97ef37f3bfbaf36b575a1b114da92155,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,70
did:etho:f4e44489c3f6cd4989ee41b4a2ccaf305538999d,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,0
did:etho:54c0e77d3da1d5f8830180db80c7e754e5c415e9,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,100
did:etho:163282f109b86167a7017a9db2c995a9240dff38,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,250
did:etho:5d5658e00ae51938423a31227971fc9848fb87f4,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:38123a191e9685448658d2207b0543e2fb9282cc,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:a6efa16129d1afb342dcfb181a067cee7b46038b,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,120
did:etho:5b1899d88b4ff0cf5a34651e7ce7164398211c66,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:9303002f61b7db55fd981e16bb01177a9bcd8bcf,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,170
did:etho:69e8e23eb2e61bc8449e02ced7075186dafbcfc1,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,270
did:etho:81325db1b0b899710c1b90a59cd2e991a4c6e334,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,0
did:etho:81ba93b26bce8ca5d649b6607df15e6d45462d8f,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:cb53a818042db647cb01672751b0e4efca29cf55,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,270
did:etho:c5ca591d785a4ec93f7ab6a486afdfe7379f6495,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,70
did:etho:9debadcaae4820092c8ff7dc741c9ec7d9e95027,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:ef84098d14b86b022f16c20da6b21011ce4961bd,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:d773be87460bd7108a4d996729cf3655e0e8fa57,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:3aaa1b22b24dcfd0db68660c891e71915aa3dfe7,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,250
did:etho:6d5d9d052d8fe0cbf659b9238f08239c12e5ce95,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:2eb619bf6ef1b2144d47d5a006591ee284f21820,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,70
did:etho:3f85ac6e64708d386a49ff25856333895fc543c1,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:316fa1d608beb5e5e59e478eb4120a678d484e77,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:87b7c3dae15396e11140195905619f593bec9605,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,0
did:etho:1626255e55b3c8fa14c933646534e9f8726c649a,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:e8a718296edcd56132a2de6045965ddda8f7176b,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,100
did:etho:f86aced730d6fa0340cd811f7b88adc13b22f5c2,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:be13084cea1e3c8615f781b85b995c4d95947080,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:db0f1df85d3f3989c7543a8f74eb7d41132fe74a,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,100
did:etho:302d8d638e10df112e705b3d9cfe33118e0e113d,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,150
did:etho:919948944dfa2495d646343a9dd534f872f37273,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,70
did:etho:26d82ecace3ea30a8f61cec406ad8b8df5c7de2d,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,170
did:etho:1a55a5aaa3b462e8273bee6bd813fea4744f651a,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:923651a22f49883d240b1fadc1fcdb990665f119,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,150
did:etho:512a3c8fb55c520f00dbe82133fa09de1c8d7bf9,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,150
did:etho:18494636ed501765d3f9ad5795970717484b350c,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,150
did:etho:bd5bbd91a1773b98077d65fb252d07afa9c14746,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,170
did:etho:8639c84c65b1608ca1c8177b60ba2dae16ccf548,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:8F193e56df4359A40B156EE5642bBBb1b8Af4D4D,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,0
did:etho:517884f15f12142951f6b4b6c307a60df0ba26fe,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:120781637314cb4a522c072Fe83F682B88809da6,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,100
did:etho:e131efec92ffb719151acf52fc1955bca2a3e19f,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:ea260110b4dffd89d6723c1332feb0b34c847068,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,120
did:etho:61f3be073bd5c5a6ed11443e51744ce505e27b85,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,170
did:etho:15fab1cc5262d69853b1196f74d38c7fc96fc6d7,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,270
did:etho:294c2a8bd233fad3d9c29e9362a42f8881f4461b,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:c69ec94f3dce57b622d790e773899bc1d11a8074,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,270
did:etho:576eb27cbf54518d3de5a38ea7746ef6a9b8b5e6,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:ade692ece7bd6cd7309724a391485d4db54ff4ec,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,50
did:etho:133b2f8476af944c434454695313082215d5c4b3,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,120
did:etho:0f7323a0364a11f5b3da7645669af54d64a55756,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,100
did:etho:2765423f37020c505e21419b7c39811e63bd30cc,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,70
did:etho:68cc2687cfd72aba42f6f732434ea98a9f976cbf,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,50
did:etho:b46eda1636689ac513cd8604d9a40f8e200901b3,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,100
did:etho:863e3d86bdbe51c4b922e965ea70749fe4d9963a,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,0
did:etho:3e1f1605222D41EbBF6d5f6699A0e38523818ea0,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,100
did:etho:9a3b21d2212dcc6137da4a953700d21d5eb2c088,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,50
did:etho:a56f088c5ff2b4c67e92fc1713517e01cfbf974e,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,50
did:etho:364f4b2eee8920b6e476dfd4e531b6fd6bfc14cf,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:cc0d8f409b149b92c089b5a9177331338671501c,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,170
did:etho:be13517a2b520b2449068d2ec45280992b04047b,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,270
did:etho:c1275ace129e485460bbe74785518fc98a061f33,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,170
did:etho:f33fd427e695b63c81f238b5d8ea75aea31d15a4,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:bb96d92c7f873259a1e25e0103b1b54562178eea,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:0cdafc2fbd1eb267bd46a500a668ea4b7f264a23,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:3fe2e08a1f7766606574a91a5cfaf3342d023947,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,170
did:etho:7927f89670f942169476b006966dd6eccdc7425c,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:caa7c47e4684af466293e10aec58eaf4e7b195b4,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,170
